miseq_soap_def.contig	1170416	77	54	268	24	62957322	62957322	0
miseq_soap_def.scafSeq	128064	100	102	447	100	13036615	13016957	19658
miseq_soap_def-d.contig	296497	47	45	1237	24	13444376	13444376	0
miseq_soap_def-d.scafSeq	13244	331	257	1419	100	3407961	3315257	92704
miseq.ec_soap_def.contig	566547	89	66	721	24	37339066	37339066	0
miseq.ec_soap_def.scafSeq	129939	100	105	721	100	13609993	13609760	233
miseq_soapK27.contig	913583	92	67	363	28	60814225	60814225	0
miseq_soapK27.scafSeq	223916	100	102	477	100	22762640	22731177	31463
miseq.fa_soapK27.contig	913583	92	67	363	28	60814225	60814225	0
miseq.fa_soapK27.scafSeq	223916	100	102	477	100	22762640	22731177	31463
