K	d	NumCtg	N50	MeanLen	MaxLen	MinLen	TotalBases	NumNucs	NumUnk
23	10	2923	8446	1543	49591	24	4508909	4508909	0
23	1	223202	45	49	923	24	10855348	10855348	0
23	2	52724	406	113	3379	24	5958165	5958165	0
23	3	18182	1492	273	8454	24	4964038	4964038	0
23	4	8826	3750	532	16123	24	4691883	4691883	0
23	5	3356	11152	1350	49599	24	4530255	4530255	0
23	6	3132	10470	1444	49596	24	4522437	4522437	0
23	7	2980	9792	1516	49596	24	4516691	4516691	0
23	8	2942	8884	1534	49593	24	4513914	4513914	0
23	9	2935	8737	1537	49592	24	4511775	4511775	0
25	10	2608	8441	1728	49593	26	4505937	4505937	0
25	1	184574	51	56	1031	26	10247929	10247929	0
25	2	5590	10926	826	37644	26	4617363	4617363	0
25	3	3703	12529	1230	79481	26	4554718	4554718	0
25	4	3060	12197	1481	67336	26	4532924	4532924	0
25	5	2742	11451	1649	49601	26	4521403	4521403	0
25	6	2610	10853	1730	49598	26	4515209	4515209	0
25	7	2579	10013	1750	49598	26	4512311	4512311	0
25	8	2566	9716	1758	49593	26	4510031	4510031	0
25	9	2569	8840	1755	49592	26	4507642	4507642	0
27	10	2431	8235	1853	49595	28	4504242	4504242	0
27	1	14372	3210	345	26579	28	4952300	4952300	0
27	2	4366	12782	1052	48725	28	4591305	4591305	0
27	3	3007	14204	1510	67340	28	4541856	4541856	0
27	4	2536	13317	1784	49591	28	4523653	4523653	0
27	5	2377	12029	1900	49591	28	4516480	4516480	0
27	6	2323	10618	1942	49600	28	4512399	4512399	0
27	7	2282	9934	1976	49600	28	4508785	4508785	0
27	8	2324	9336	1940	49596	28	4507625	4507625	0
27	9	2358	8890	1911	49595	28	4506084	4506084	0
29	10	2326	7961	1936	30691	30	4502267	4502267	0
29	1	10055	4992	480	31133	30	4825031	4825031	0
29	2	3565	14818	1283	48729	30	4573155	4573155	0
29	3	2570	15158	1764	67353	30	4533714	4533714	0
29	4	2224	13858	2032	55813	30	4518986	4518986	0
29	5	2152	12433	2098	55813	30	4514254	4514254	0
29	6	2135	10573	2113	49602	30	4510769	4510769	0
29	7	2148	9811	2099	49599	30	4508580	4508580	0
29	8	2188	9157	2060	49596	30	4506448	4506448	0
29	9	2262	8394	1992	41227	30	4505341	4505341	0
31	10	2395	7035	1881	30529	32	4505077	4505077	0
31	1	7110	7657	665	31926	32	4730307	4730307	0
31	2	3003	15817	1519	67336	32	4560311	4560311	0
31	3	2285	15454	1982	67353	32	4529692	4529692	0
31	4	2124	14369	2128	49607	32	4520617	4520617	0
31	5	2070	11327	2182	49600	32	4516079	4516079	0
31	6	2054	10478	2197	49599	32	4512480	4512480	0
31	7	2065	9796	2183	49599	32	4508822	4508822	0
31	8	2163	8803	2084	49598	32	4507838	4507838	0
31	9	2276	7924	1980	30529	32	4507030	4507030	0
