K	d	NumScaf	N50	MeanLen	MaxLen	MinLen	TotalBases	NumNucs	NumUnk
23	10	262	56921	17046	171730	100	4466005	4429538	36467
23	1	10760	590	353	4505	100	3795565	3408732	386833
23	2	4357	2790	1063	15208	100	4632261	4397209	235052
23	3	689	22862	6603	91963	100	4549807	4427373	122434
23	4	274	66782	16388	201235	100	4490389	4427260	63129
23	5	237	67315	18835	182177	100	4463826	4433730	30096
23	6	243	79550	18371	182206	100	4464210	4433636	30574
23	7	253	67373	17647	182182	100	4464601	4433463	31138
23	8	263	61851	16979	171678	100	4465402	4432747	32655
23	9	263	56725	16980	171677	100	4465757	4431243	34514
25	10	284	56855	15727	170807	100	4466588	4432220	34368
25	1	10800	662	377	4351	100	4074161	3710382	363779
25	2	197	81490	22652	242931	100	4462405	4429819	32586
25	3	212	80691	21048	202186	100	4462126	4435388	26738
25	4	232	72199	19234	181851	100	4462404	4436871	25533
25	5	244	70180	18295	181858	100	4464025	4437757	26268
25	6	258	61142	17305	181866	100	4464779	4437700	27079
25	7	260	61153	17176	181904	100	4465657	4436803	28854
25	8	269	57922	16602	181916	100	4466007	4435703	30304
25	9	282	56478	15838	178693	100	4466416	4434516	31900
27	10	279	57608	16013	181879	100	4467559	4432024	35535
27	1	236	67368	18851	199715	100	4448834	4380569	68265
27	2	197	83071	22647	200337	100	4461522	4435010	26512
27	3	209	81545	21356	181688	100	4463376	4438805	24571
27	4	227	72150	19670	181927	100	4465135	4440420	24715
27	5	240	72149	18611	210059	100	4466679	4441000	25679
27	6	250	61106	17868	181953	100	4466897	4440022	26875
27	7	253	60111	17657	181960	100	4467149	4438860	28289
27	8	266	57609	16794	182021	100	4467301	4437203	30098
27	9	273	56879	16365	182040	100	4467722	4435343	32379
29	10	290	54870	15405	156738	100	4467442	4431273	36169
29	1	209	82521	21290	199694	100	4449517	4402754	46763
29	2	196	82990	22765	181670	100	4462000	4438850	23150
29	3	207	81561	21570	181662	100	4464996	4442618	22378
29	4	225	73486	19854	181725	100	4467216	4443962	23254
29	5	241	72108	18541	181744	100	4468313	4443842	24471
29	6	251	61191	17803	181744	100	4468483	4442355	26128
29	7	258	60104	17322	181808	100	4468972	4440798	28174
29	8	268	57487	16674	181835	100	4468744	4437996	30748
29	9	276	57503	16193	178545	100	4469261	4435607	33654
31	10	308	48464	14506	156960	100	4467881	4429410	38471
31	1	199	73553	22381	208880	100	4453880	4420364	33516
31	2	224	79816	19922	181650	100	4462499	4443720	18779
31	3	230	73495	19419	181698	100	4466409	4446456	19953
31	4	252	60815	17730	181861	100	4467897	4446708	21189
31	5	250	60812	17875	181885	100	4468797	4445561	23236
31	6	264	60401	16928	181885	100	4468916	4444106	24810
31	7	273	57800	16369	181921	100	4468780	4441570	27210
31	8	280	57492	15959	178624	100	4468554	4438066	30488
31	9	289	56348	15462	178691	100	4468461	4434158	34303
