Fri Jun 27 11:15:46 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill 
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	MIN_SCORE = 200
	TOP_HITS = 5

-subgrids
	contig1	contig2	  points	cells
         1          1       2143    17478828
         1          2       2018    21943144
         1          3       2088    28246400
         1          4       1538    20500372
         1          5       1986    32243588
         2          2        751     6883905
         2          3       1460    17727448
         2          4       1239    12866037
         2          5       1164    20236084
         3          3        849    11407476
         3          4       1300    16561859
         3          5       1977    26048980
         4          4        711     6008311
         4          5       1551    18905552
         5          5       1293    14864878


-points

	point	contig1	   contig2	feat1	  feat2	  score
         0          1          1          6        954        328
         1          1          1         11        300        395
         2          1          1         11        616        237
         3          1          1         11       1668        665
         4          1          1         11       2146        580
         5          1          1         11       4808        582
         6          1          1         11       5050        326
         7          1          1         13       2412        290
         8          1          1         13       2499        303
         9          1          1         13       3263        401
        10          1          1         18       5288        207
        11          1          1         30       1288        588
        12          1          1         31       1355        549
        13          1          1         31       1699        553
        14          1          1         41       4440        242
        15          1          1         49       4531        273
        16          1          1         50        772        523
        17          1          1         50       2454        263
        18          1          1         50       3708        301
        19          1          1         50       3998        525
        20          1          1         50       4171        201
        21          1          1         50       5125        308
        22          1          1         52        630        631
        23          1          1         52        841        250
        24          1          1         52       1545        206
        25          1          1         52       3715        207
        26          1          1         52       4076        247
        27          1          1         52       5249        204
        28          1          1         53        400        270
        29          1          1         53        627        414
        30          1          1         53       2752        281
        31          1          1         54       1972        680
        32          1          1         55       4393        482
        33          1          1         56        509        215
        34          1          1         60       4391        323
        35          1          1         67       5585        313
        36          1          1         69       3500        260
        37          1          1         69       4377        443
        38          1          1         83        289        212
        39          1          1         88       1041        332
        40          1          1         91        982        723
        41          1          1         91       2536        528
        42          1          1         94       1035        253
        43          1          1        106        498        211
        44          1          1        106        590        215
        45          1          1        106        788        215
        46          1          1        106       1433        215
        47          1          1        108        128        216
        48          1          1        108       4168        273
        49          1          1        115       2228        225
        50          1          1        115       3232        460
        51          1          1        128       4168        286
        52          1          1        131       2477        283
        53          1          1        136       3248        279
        54          1          1        136       3997        259
        55          1          1        141        886        385
        56          1          1        141       2324        435
        57          1          1        144       4641        228
        58          1          1        149        746        222
        59          1          1        149       3966        236
        60          1          1        150       4975        222
        61          1          1        151       5642        502
        62          1          1        154        386        288
        63          1          1        156        755        743
        64          1          1        159       1112        404
        65          1          1        159       1655        284
        66          1          1        159       2072        310
        67          1          1        159       4952        316
        68          1          1        160       2660        442
        69          1          1        166       1959        256
        70          1          1        166       1991        441
        71          1          1        166       5010        453
        72          1          1        167        947        205
        73          1          1        167        965        297
        74          1          1        167       3744        303
        75          1          1        171       2199        269
        76          1          1        171       4136        261
        77          1          1        175       3428        232
        78          1          1        175       4425        242
        79          1          1        182       3072        559
        80          1          1        190       4045        216
        81          1          1        198       3813        248
        82          1          1        213       2197        284
        83          1          1        221       3821        209
        84          1          1        223        312        336
        85          1          1        223        518        429
        86          1          1        227        678        305
        87          1          1        232        272        711
        88          1          1        233        477        239
        89          1          1        233        943        222
        90          1          1        233       1128        211
        91          1          1        233       1738        255
        92          1          1        233       2388        214
        93          1          1        234       3678        458
        94          1          1        234       5041        379
        95          1          1        233        443        209
        96          1          1        236        932        358
        97          1          1        236       2648        339
        98          1          1        236       4210        383
        99          1          1        237        436        208
       100          1          1        237        813        203
       101          1          1        237       1029        207
       102          1          1        237       1058        217
       103          1          1        237       5327        236
       104          1          1        239       1372        336
       105          1          1        239       5779        227
       106          1          1        253        785        582
       107          1          1        253       1594        310
       108          1          1        253       2791        570
       109          1          1        253       3673        625
       110          1          1        253       3814        601
       111          1          1        253       4014        341
       112          1          1        263       1226        372
       113          1          1        263       3857        236
       114          1          1        270       2531        405
       115          1          1        271        320        648
       116          1          1        271       5166        328
       117          1          1        274       3799        699
       118          1          1        290       2510        362
       119          1          1        290       5065        237
       120          1          1        293       1932        593
       121          1          1        293       3552        378
       122          1          1        293       5339        351
       123          1          1        294        336        847
       124          1          1        294        708        625
       125          1          1        294       1492        785
       126          1          1        294       3810        811
       127          1          1        296        337        410
       128          1          1        296       1833        271
       129          1          1        300       1668        400
       130          1          1        300       2146        365
       131          1          1        300       4808        362
       132          1          1        300       5050        263
       133          1          1        306        529        390
       134          1          1        312        518        355
       135          1          1        319       5566        253
       136          1          1        319       5660        215
       137          1          1        320       5166        303
       138          1          1        336        708        878
       139          1          1        336       1492       1443
       140          1          1        336       3810       1469
       141          1          1        344        997        363
       142          1          1        344       1211        505
       143          1          1        344       2505        219
       144          1          1        344       4733        674
       145          1          1        346       1376        523
       146          1          1        346       5773        526
       147          1          1        352        979        325
       148          1          1        352       4265        285
       149          1          1        356       1721        202
       150          1          1        356       3419        999
       151          1          1        356       4481        915
       152          1          1        356       5433        326
       153          1          1        358        443        263
       154          1          1        358        477        295
       155          1          1        358        646        343
       156          1          1        358        943        250
       157          1          1        358       1309        222
       158          1          1        358       1394        355
       159          1          1        358       1497        242
       160          1          1        358       1738        403
       161          1          1        358       2137        292
       162          1          1        358       2597        239
       163          1          1        358       2636        319
       164          1          1        358       3724        300
       165          1          1        358       4846        393
       166          1          1        369       3790        280
       167          1          1        375       1006        219
       168          1          1        375       4290        234
       169          1          1        377       4691        215
       170          1          1        377       5797        213
       171          1          1        391        978        503
       172          1          1        391       2733        577
       173          1          1        391       2766        484
       174          1          1        391       5618        266
       175          1          1        394       3047        392
       176          1          1        397       1524        205
       177          1          1        397       5219        234
       178          1          1        397       5799        243
       179          1          1        400        627        267
       180          1          1        400       2752        264
       181          1          1        402        915        218
       182          1          1        402       4183        217
       183          1          1        427        506        627
       184          1          1        433       4553        489
       185          1          1        434        615        318
       186          1          1        435       4552        374
       187          1          1        436        515        263
       188          1          1        436        696        256
       189          1          1        436        793        281
       190          1          1        436        813        289
       191          1          1        436       1029        354
       192          1          1        436       1058        349
       193          1          1        436       1654        234
       194          1          1        436       2065        247
       195          1          1        436       2629        266
       196          1          1        436       3634        249
       197          1          1        436       4305        330
       198          1          1        436       5327        300
       199          1          1        436       5770        249
       200          1          1        438       2524        204
       201          1          1        438       5778        221
       202          1          1        443        477        272
       203          1          1        443        943        240
       204          1          1        443       1575        264
       205          1          1        443       2137        261
       206          1          1        443       2597        270
       207          1          1        443       3984        201
       208          1          1        449        498        251
       209          1          1        449        590        278
       210          1          1        449        788        276
       211          1          1        449       1433        273
       212          1          1        449       1550        235
       213          1          1        449       2383        269
       214          1          1        457       4538        649
       215          1          1        469       3450        208
       216          1          1        469       4620        350
       217          1          1        474        495        571
       218          1          1        477        646        218
       219          1          1        477        853        209
       220          1          1        477        943        310
       221          1          1        477       1128        207
       222          1          1        477       1394        268
       223          1          1        477       1497        272
       224          1          1        477       1693        212
       225          1          1        477       2388        241
       226          1          1        477       2597        220
       227          1          1        477       3440        383
       228          1          1        477       4441        224
       229          1          1        477       5543        262
       230          1          1        477       5558        321
       231          1          1        480        716        217
       232          1          1        480        779        202
       233          1          1        480       1395        233
       234          1          1        480       1935        213
       235          1          1        480       2864        221
       236          1          1        480       3950        229
       237          1          1        480       4606        218
       238          1          1        480       5332        209
       239          1          1        480       5740        226
       240          1          1        484       3943        211
       241          1          1        497        808        661
       242          1          1        497       4025        668
       243          1          1        498        590        330
       244          1          1        498        788        324
