Wed Nov 19 13:23:00 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill
Authors: Sugata Chakravarty and Todd J. Vision

-parameters
	MIN_SCORE = 200
	MAX_DIST = 10

-contigs

    contig   markers  features
         1      6494      5913
         2      4038      3711
         3      5221      4777
         4      3825      3467
         5      5888      5453



-features

   feature    contig orientation     genes
         0         1           1 At1g01010
         1         1          -1 At1g01020
         2         1          -1 At1g01030
         3         1           1 At1g01040
         4         1          -1 At1g01050
         5         1          -1 At1g01060
         6         1          -1 At1g01070
         7         1          -1 At1g01080
         8         1          -1 At1g01090
         9         1          -1 At1g01100
        10         1           1 At1g01110
        11         1          -1 At1g01120
        12         1          -1 At1g01130
        13         1          -1 At1g01140
        14         1          -1 At1g01150
        15         1           1 At1g01160
        16         1          -1 At1g01170
        17         1           1 At1g01180
        18         1          -1 At1g01190
        19         1          -1 At1g01200
        20         1           1 At1g01210
        21         1           1 At1g01220
        22         1           1 At1g01230
        23         1           1 At1g01240
        24         1          -1 At1g01250
        25         1           1 At1g01260
        26         1           1 At1g01280
        27         1           1 At1g01290
        28         1           1 At1g01300
        29         1           1 At1g01310
        30         1          -1 At1g01320
        30         1          -1 At1g01330
        31         1          -1 At1g01340
        32         1           1 At1g01350
        33         1           1 At1g01360
        34         1           1 At1g01370
        35         1           1 At1g01380
        36         1          -1 At1g01390
        36         1          -1 At1g01420
        37         1          -1 At1g01400
        38         1           1 At1g01410
        39         1          -1 At1g01430
        40         1          -1 At1g01440
        41         1          -1 At1g01450
        42         1           1 At1g01460
        43         1          -1 At1g01470
        44         1           1 At1g01480
        45         1          -1 At1g01490
        46         1           1 At1g01500
        47         1           1 At1g01510
        48         1           1 At1g01520
        49         1          -1 At1g01530
        50         1           1 At1g01540
        51         1           1 At1g01550
        52         1           1 At1g01560
        53         1           1 At1g01570
        54         1           1 At1g01580
        54         1           1 At1g01590
        55         1           1 At1g01600
        56         1          -1 At1g01610
        57         1          -1 At1g01620
        58         1           1 At1g01630
        59         1          -1 At1g01640
        60         1          -1 At1g01650
        61         1          -1 At1g01660
        62         1          -1 At1g01670
        63         1          -1 At1g01680
        64         1           1 At1g01690
        65         1          -1 At1g01700
        66         1           1 At1g01710
        67         1           1 At1g01720
        68         1           1 At1g01730
        69         1          -1 At1g01740
        70         1           1 At1g01750
        71         1          -1 At1g01760
        72         1           1 At1g01770
        73         1           1 At1g01780
        74         1           1 At1g01790
        75         1           1 At1g01800
        76         1           1 At1g01810
        77         1          -1 At1g01820
        78         1          -1 At1g01830
        79         1           1 At1g01840
        80         1          -1 At1g01850
        81         1          -1 At1g01860
        82         1          -1 At1g01880
        83         1           1 At1g01900
        84         1          -1 At1g01910
        85         1           1 At1g01920
        86         1          -1 At1g01930
        87         1           1 At1g01940
        88         1           1 At1g01950
        89         1          -1 At1g01960
        90         1           1 At1g01970
        91         1          -1 At1g01980
        92         1          -1 At1g01990
        93         1           1 At1g02000
        94         1           1 At1g02010
        95         1          -1 At1g02020
        96         1          -1 At1g02030
        97         1          -1 At1g02040
        98         1          -1 At1g02050
        99         1          -1 At1g02060
       100         1          -1 At1g02070
       101         1           1 At1g02080
       102         1          -1 At1g02090
       103         1           1 At1g02100
       104         1           1 At1g02110
       105         1           1 At1g02120
       106         1          -1 At1g02130
       107         1          -1 At1g02140
       108         1           1 At1g02150
       109         1           1 At1g02160
       110         1           1 At1g02170
       111         1          -1 At1g02180
       112         1           1 At1g02190
       112         1           1 At1g02200
       113         1          -1 At1g02210
       114         1          -1 At1g02220
       115         1          -1 At1g02230
       116         1          -1 At1g02240
       116         1          -1 At1g02250
       117         1          -1 At1g02260
       118         1          -1 At1g02270
       119         1          -1 At1g02280
