Wed Nov 19 13:23:03 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	T = 0.05
	total points = 22068
	total_features = 23321
	total_cells = 2.71923e+08
	h = 8.11554e-05
	d_T = 25.6408
	Min_Block_Size = 3
	block_prob = 0.001
	total_blocks = 508


-block 0
    points   contig1   contig2
       79        1        1

	point	dist	markers	orientation
	1040	0	{At1g19320 }{At1g75040 }	1
	1041	2	{At1g19330 }{At1g75060 }	1
	1042	3	{At1g19350 }{At1g75080 }	1
	1043	4	{At1g19360 }{At1g75110 At1g75120 }	1
	1044	3	{At1g19370 }{At1g75140 }	1
	1050	7	{At1g19400 }{At1g75180 }	1
	1056	8	{At1g19450 }{At1g75220 }	1
	1057	3	{At1g19480 }{At1g75230 }	1
	1058	11	{At1g19550 At1g19570 }{At1g75270 }	1
	1061	15	{At1g19650 }{At1g75370 }	1
	1062	2	{At1g19660 }{At1g75380 }	1
	1063	4	{At1g19680 }{At1g75400 }	1
	1064	3	{At1g19700 }{At1g75410 }	1
	1065	2	{At1g19710 }{At1g75420 }	1
	1068	7	{At1g19740 }{At1g75460 }	1
	1070	20	{At1g19840 }{At1g75590 }	1
	1073	6	{At1g19890 }{At1g75600 At1g75610 }	1
	1074	2	{At1g19900 }{At1g75620 }	1
	1075	2	{At1g19910 }{At1g75630 }	1
	1078	7	{At1g19940 }{At1g75680 }	1
	1079	3	{At1g19950 }{At1g75700 }	1
	1080	7	{At1g19970 }{At1g75760 }	1
	1082	6	{At1g20010 }{At1g75780 }	1
	1083	4	{At1g20030 }{At1g75800 }	1
	1084	9	{At1g20090 }{At1g75840 }	1
	1085	7	{At1g20120 At1g20130 }{At1g75880 At1g75890 At1g75900 }	1
	1091	11	{At1g20200 }{At1g75990 }	1
	1092	3	{At1g20220 }{At1g76020 }	1
	1104	4	{At1g20260 }{At1g76030 }	1
	1106	13	{At1g20330 }{At1g76090 }	1
	1107	2	{At1g20340 }{At1g76100 }	1
	1109	5	{At1g20370 }{At1g76120 }	1
	1110	3	{At1g20380 }{At1g76140 }	1
	1117	24	{At1g20540 }{At1g76260 }	1
	1118	2	{At1g20550 }{At1g76270 }	1
	1123	3	{At1g20560 }{At1g76290 }	1
	1125	5	{At1g20590 At1g20610 }{At1g76310 }	1
	1126	6	{At1g20640 }{At1g76350 }	1
	1131	2	{At1g20650 }{At1g76360 At1g76370 }	1
	1135	13	{At1g20780 }{At1g76390 }	1
	1136	4	{At1g20810 }{At1g76410 }	1
	1137	6	{At1g20860 }{At1g76430 }	1
	1138	5	{At1g20880 }{At1g76460 }	1
	1139	3	{At1g20890 }{At1g76480 }	1
	1140	3	{At1g20900 }{At1g76500 }	1
	1142	6	{At1g20930 }{At1g76540 }	1
	1143	3	{At1g20950 }{At1g76550 }	1
	1144	6	{At1g20980 }{At1g76580 }	1
	1147	3	{At1g21000 }{At1g76590 }	1
	1154	8	{At1g21060 }{At1g76620 }	1
	1155	6	{At1g21070 }{At1g76670 }	1
	1156	3	{At1g21080 }{At1g76700 }	1
	1160	11	{At1g21100 At1g21110 At1g21120 At1g21130 }{At1g76790 }	1
	1162	10	{At1g21160 }{At1g76720 At1g76810 At1g76820 }	1
	1163	12	{At1g21170 At1g21180 }{At1g76850 }	1
	1164	4	{At1g21200 }{At1g76870 }	1
	1175	19	{At1g21380 }{At1g76970 }	1
	1176	6	{At1g21410 }{At1g77000 }	1
	1177	7	{At1g21440 }{At1g77060 }	1
	1180	24	{At1g21530 At1g21540 }{At1g77240 }	1
	1181	9	{At1g21590 }{At1g77280 }	1
	1182	5	{At1g21610 }{At1g77310 }	1
	1183	23	{At1g21720 }{At1g77440 }	1
	1184	8	{At1g21740 }{At1g77500 }	1
	1185	2	{At1g21750 }{At1g77510 }	1
	1191	18	{At1g21870 }{At1g77610 }	1
	1192	3	{At1g21880 }{At1g77630 }	1
	1195	7	{At1g21920 }{At1g77660 }	1
	1197	14	{At1g21980 }{At1g77740 }	1
	1201	25	{At1g22070 }{At1g77920 }	1
	1202	9	{At1g22130 }{At1g77950 }	-1
	1204	6	{At1g22150 }{At1g77990 At1g78000 }	-1
	1205	7	{At1g22170 }{At1g78050 }	1
	1209	8	{At1g22210 }{At1g78090 }	1
	1211	10	{At1g22240 }{At1g78160 }	1
	1212	5	{At1g22260 At1g22270 }{At1g78190 }	1
	1217	13	{At1g22300 }{At1g78300 }	-1
	1218	6	{At1g22330 }{At1g78260 }	1
	1219	2	{At1g22340 At1g22360 At1g22370 At1g22390 At1g22400 }{At1g78270 }	1


-block 1
    points   contig1   contig2
       30        1        1

	point	dist	markers	orientation
	1246	0	{At1g22920 }{At1g71230 }	-1
	1249	12	{At1g22970 At1g22980 }{At1g71150 }	-1
	1250	14	{At1g23010 }{At1g71040 }	-1
	1251	4	{At1g23030 }{At1g71020 }	-1
	1252	13	{At1g23080 }{At1g70940 }	-1
	1256	7	{At1g23110 }{At1g70900 }	-1
	1258	8	{At1g23140 }{At1g70800 At1g70810 }	-1
	1262	6	{At1g23170 }{At1g70770 }	-1
	1263	6	{At1g23190 }{At1g70730 }	-1
	1265	4	{At1g23210 }{At1g70710 }	-1
	1266	6	{At1g23240 }{At1g70670 At1g70680 }	-1
	1267	3	{At1g23260 }{At1g70660 }	-1
	1268	9	{At1g23290 }{At1g70600 }	-1
	1272	4	{At1g23310 }{At1g70580 }	-1
	1274	3	{At1g23320 }{At1g70560 }	-1
	1276	3	{At1g23340 }{At1g70550 }	-1
	1277	2	{At1g23350 }{At1g70540 }	-1
	1278	4	{At1g23370 At1g23380 }{At1g70510 }	-1
	1280	9	{At1g23460 }{At1g70500 }	-1
	1284	4	{At1g23490 }{At1g70490 }	-1
	1288	8	{At1g23540 }{At1g70450 At1g70460 }	-1
	1289	2	{At1g23550 }{At1g70440 }	-1
	1290	4	{At1g23560 }{At1g70480 }	-1
	1291	10	{At1g23700 }{At1g70430 }	-1
	1293	5	{At1g23730 }{At1g70410 }	-1
	1295	7	{At1g23760 }{At1g70370 }	-1
	1296	5	{At1g23790 }{At1g70340 }	-1
	1300	6	{At1g23820 }{At1g70310 }	-1
	1303	6	{At1g23870 }{At1g70290 }	-1
	1304	2	{At1g23880 }{At1g70280 }	-1


-block 2
    points   contig1   contig2
       28        1        1

	point	dist	markers	orientation
	528	0	{At1g10640 }{At1g60590 }	1
	529	3	{At1g10650 }{At1g60610 }	1
	530	18	{At1g10670 }{At1g60810 }	-1
	532	9	{At1g10730 }{At1g60780 }	-1
	537	14	{At1g10810 }{At1g60680 At1g60690 At1g60710 At1g60730 At1g60750 }	-1
	538	10	{At1g10860 }{At1g60630 }	-1
	539	18	{At1g10870 }{At1g60860 }	1
	544	6	{At1g10900 }{At1g60890 }	1
	548	5	{At1g10930 }{At1g60930 }	1
	549	2	{At1g10940 }{At1g60940 }	1
	552	3	{At1g10960 }{At1g60950 }	1
	553	2	{At1g10970 }{At1g60960 }	1
	557	13	{At1g11060 }{At1g61030 }	1
	558	6	{At1g11070 }{At1g61080 }	1
	559	6	{At1g11080 }{At1g61130 }	1
	562	3	{At1g11100 }{At1g61140 }	1
	564	10	{At1g11160 }{At1g61210 }	1
	565	4	{At1g11170 }{At1g61240 }	1
	567	2	{At1g11180 }{At1g61250 }	1
	568	11	{At1g11250 }{At1g61290 }	1
